GO_0003674|molecular_function
GO_0000122|negative regulation of transcription by RNA polymerase II
GO_0006366|transcription by RNA polymerase II
GO_0006357|regulation of transcription by RNA polymerase II
GO_0045892|negative regulation of DNA-templated transcription
GO_0000123|histone acetyltransferase complex
GO_0031248|protein acetyltransferase complex
GO_0000785|chromatin
GO_0000124|SAGA complex
GO_0070461|SAGA-type complex
GO_1905368|peptidase complex
GO_0071819|DUBm complex
GO_0000125|
GO_0000126|transcription factor TFIIIB complex
GO_0090576|RNA polymerase III transcription regulator complex
GO_0000127|transcription factor TFIIIC complex
GO_0000128|flocculation
GO_0051703|biological process involved in intraspecies interaction between organisms
GO_0098610|adhesion between unicellular organisms
GO_0000129|
GO_0003899|DNA-directed 5'-3' RNA polymerase activity
GO_0000130|
GO_0003700|DNA-binding transcription factor activity
GO_0000131|incipient cellular bud site
GO_0140535|intracellular protein-containing complex
GO_0000132|establishment of mitotic spindle orientation
GO_0051294|establishment of spindle orientation
GO_0040001|establishment of mitotic spindle localization
GO_0000133|polarisome
GO_0032991|protein-containing complex
GO_0005938|cell cortex
GO_0030427|site of polarized growth
GO_0000134|
GO_0000135|
GO_0031565|obsolete cytokinesis checkpoint
GO_0000136|mannan polymerase complex
GO_0031501|mannosyltransferase complex
GO_0098796|membrane protein complex
GO_0000137|Golgi cis cisterna
GO_0000139|Golgi membrane
GO_0031985|Golgi cisterna
GO_0000138|Golgi trans cisterna
GO_0098588|bounding membrane of organelle
GO_0005794|Golgi apparatus
GO_0000140|acylglycerone-phosphate reductase activity
GO_0016616|oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
GO_0000141|
GO_0032432|actin filament bundle
GO_0000142|cellular bud neck contractile ring
GO_0005935|cellular bud neck
GO_0005826|actomyosin contractile ring
GO_0110085|mitotic actomyosin contractile ring
GO_0000143|
GO_0030478|actin cap
GO_0000144|cellular bud neck septin ring
GO_0005940|septin ring
GO_0000399|cellular bud neck septin structure
GO_0032161|cleavage apparatus septin structure
GO_0000145|exocyst
GO_0099023|vesicle tethering complex
GO_0000146|microfilament motor activity
GO_0003774|cytoskeletal motor activity
GO_0140657|ATP-dependent activity
GO_0000147|actin cortical patch assembly
GO_0022607|cellular component assembly
GO_0030866|cortical actin cytoskeleton organization
GO_0044396|actin cortical patch organization
GO_0000148|1,3-beta-D-glucan synthase complex
GO_0098797|plasma membrane protein complex
GO_1990234|transferase complex
GO_0000149|SNARE binding
GO_0005515|protein binding
GO_0000150|DNA strand exchange activity
GO_0140097|catalytic activity, acting on DNA
GO_0000151|ubiquitin ligase complex
GO_0000152|nuclear ubiquitin ligase complex
GO_0005634|nucleus
GO_0000153|cytoplasmic ubiquitin ligase complex
GO_0005737|cytoplasm
GO_0000154|rRNA modification
GO_0006364|rRNA processing
GO_0009451|RNA modification
GO_0000155|phosphorelay sensor kinase activity
GO_0004673|protein histidine kinase activity
GO_0140299|small molecule sensor activity
GO_0000160|phosphorelay signal transduction system
GO_0000156|phosphorelay response regulator activity
GO_0060089|molecular transducer activity
GO_0000157|
GO_0019897|extrinsic component of plasma membrane
GO_0000158|
GO_0004722|protein serine/threonine phosphatase activity
GO_0000159|protein phosphatase type 2A complex
GO_0008287|protein serine/threonine phosphatase complex
GO_0000161|osmosensory signaling MAPK cascade
GO_0007231|osmosensory signaling pathway
GO_0051403|stress-activated MAPK cascade
GO_0000162|tryptophan biosynthetic process
GO_0006568|tryptophan metabolic process
GO_0009073|aromatic amino acid family biosynthetic process
GO_0046219|indolalkylamine biosynthetic process
GO_1901607|alpha-amino acid biosynthetic process
GO_0000163|
GO_0000164|protein phosphatase type 1 complex
GO_0000165|MAPK cascade
GO_0000166|nucleotide binding
GO_1901265|nucleoside phosphate binding
GO_1901363|heterocyclic compound binding
GO_0000167|
GO_0000168|
GO_0000169|
GO_0000170|sphingosine hydroxylase activity
GO_0016491|oxidoreductase activity
GO_0000171|ribonuclease MRP activity
GO_0004521|RNA endonuclease activity
GO_0000172|ribonuclease MRP complex
GO_0005732|sno(s)RNA-containing ribonucleoprotein complex
GO_1902555|endoribonuclease complex
GO_0000173|
GO_0000174|obsolete inactivation of MAPK (mating sensu Saccharomyces)
GO_0000175|3'-5'-RNA exonuclease activity
GO_0008408|3'-5' exonuclease activity
GO_0016896|RNA exonuclease activity, producing 5'-phosphomonoesters
GO_0000176|nuclear exosome (RNase complex)
GO_0000178|exosome (RNase complex)
GO_0031981|nuclear lumen
GO_0000177|cytoplasmic exosome (RNase complex)
GO_1905354|exoribonuclease complex
GO_0005622|intracellular anatomical structure
GO_0000179|rRNA (adenine-N6,N6-)-dimethyltransferase activity
GO_0008170|N-methyltransferase activity
GO_0016433|rRNA (adenine) methyltransferase activity
GO_0000180|obsolete cytosolic large ribosomal subunit
GO_0000181|obsolete cytosolic small ribosomal subunit
GO_0000182|rDNA binding
GO_1990837|sequence-specific double-stranded DNA binding
GO_0000183|rDNA heterochromatin formation
GO_0140718|facultative heterochromatin formation
GO_1990700|nucleolar chromatin organization
GO_0000184|nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO_0000956|nuclear-transcribed mRNA catabolic process
GO_0000185|obsolete activation of MAPKKK activity
GO_0000186|obsolete activation of MAPKK activity
GO_0000187|obsolete activation of MAPK activity
GO_0000188|obsolete inactivation of MAPK activity
GO_0000189|obsolete MAPK import into nucleus
GO_0000190|obsolete MAPKKK cascade (pseudohyphal growth)
GO_0000191|obsolete activation of MAPKKK (pseudohyphal growth)
GO_0000192|obsolete activation of MAPKK (pseudohyphal growth)
GO_0000193|obsolete activation of MAPK (pseudohyphal growth)
GO_0000194|obsolete inactivation of MAPK (pseudohyphal growth)
GO_0000195|obsolete nuclear translocation of MAPK (pseudohyphal growth)
GO_0000196|cell wall integrity MAPK cascade
GO_0071554|cell wall organization or biogenesis
GO_0000197|obsolete activation of MAPKKK activity involved in cell wall organization or biogenesis
GO_0000198|obsolete activation of MAPKK activity involved in cell wall organization or biogenesis
GO_0000199|obsolete activation of MAPK activity involved in cell wall organization or biogenesis
GO_0000200|obsolete inactivation of MAPK activity involved in cell wall organization or biogenesis
GO_0000201|obsolete MAPK import into nucleus involved in cell wall organization or biogenesis
GO_0000202|obsolete MAPKKK cascade during sporulation (sensu Saccharomyces)
GO_0000203|obsolete activation of MAPKKK during sporulation (sensu Saccharomyces)
GO_0000204|obsolete activation of MAPKK during sporulation (sensu Saccharomyces)
GO_0000205|obsolete activation of MAPK during sporulation (sensu Saccharomyces)
GO_0000206|obsolete inactivation of MAPK during sporulation (sensu Saccharomyces)
GO_0000207|obsolete nuclear translocation of MAPK during sporulation (sensu Saccharomyces)
GO_0000208|obsolete MAPK import into nucleus involved in osmosensory signaling pathway
GO_0000209|protein polyubiquitination
GO_0016567|protein ubiquitination
GO_0000210|NAD+ diphosphatase activity
GO_0004551|dinucleotide phosphatase activity
GO_0000211|obsolete protein degradation tagging activity
GO_0000212|meiotic spindle organization
GO_0051321|meiotic cell cycle
GO_0007051|spindle organization
GO_1903046|meiotic cell cycle process
GO_0000213|tRNA-intron endonuclease activity
GO_0004549|tRNA-specific ribonuclease activity
GO_0016892|RNA endonuclease activity, producing 3'-phosphomonoesters
GO_0000214|tRNA-intron endonuclease complex
GO_0000215|tRNA 2'-phosphotransferase activity
GO_0016773|phosphotransferase activity, alcohol group as acceptor
GO_0000216|obsolete M/G1 transition of mitotic cell cycle
GO_0000217|DNA secondary structure binding
GO_0003677|DNA binding
GO_0000218|
GO_0000755|cytogamy
GO_0000219|obsolete vacuolar hydrogen-transporting ATPase
GO_0000220|vacuolar proton-transporting V-type ATPase, V0 domain
GO_0005774|vacuolar membrane
GO_0033179|proton-transporting V-type ATPase, V0 domain
GO_0016471|vacuolar proton-transporting V-type ATPase complex
GO_0000221|vacuolar proton-transporting V-type ATPase, V1 domain
GO_0005773|vacuole
GO_0033180|proton-transporting V-type ATPase, V1 domain
GO_0000222|plasma membrane proton-transporting V-type ATPase, V0 domain
GO_0005886|plasma membrane
GO_0033181|plasma membrane proton-transporting V-type ATPase complex
GO_0000223|plasma membrane proton-transporting V-type ATPase, V1 domain
GO_0000224|peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity
GO_0016811|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
GO_0000225|N-acetylglucosaminylphosphatidylinositol deacetylase activity
GO_0019213|deacetylase activity
GO_0000226|microtubule cytoskeleton organization
GO_0007010|cytoskeleton organization
GO_0007017|microtubule-based process
GO_0000227|oxaloacetate secondary active transmembrane transporter activity
GO_0015131|oxaloacetate transmembrane transporter activity
GO_0015291|secondary active transmembrane transporter activity
GO_0000228|nuclear chromosome
GO_0005694|chromosome
GO_0000229|obsolete cytoplasmic chromosome
GO_0000230|obsolete nuclear mitotic chromosome
GO_0000231|obsolete cytoplasmic mitotic chromosome
GO_0000232|obsolete nuclear interphase chromosome
GO_0000233|obsolete cytoplasmic interphase chromosome
GO_0000234|phosphoethanolamine N-methyltransferase activity
GO_0008757|S-adenosylmethionine-dependent methyltransferase activity
GO_0000235|astral microtubule
GO_0005818|aster
GO_0005876|spindle microtubule
GO_0005881|cytoplasmic microtubule
GO_0000236|mitotic prometaphase
GO_0000237|leptotene
GO_0098764|meiosis I cell cycle phase
GO_0007128|meiotic prophase I
GO_0000238|zygotene
GO_0000239|pachytene
GO_0000240|diplotene
GO_0000241|diakinesis
GO_0000242|pericentriolar material
GO_0110165|cellular anatomical entity
GO_0005813|centrosome
GO_0000243|commitment complex
GO_0005684|U2-type spliceosomal complex
GO_0005685|U1 snRNP
GO_0000244|spliceosomal tri-snRNP complex assembly
GO_0000387|spliceosomal snRNP assembly
GO_0000245|spliceosomal complex assembly
GO_0000398|mRNA splicing, via spliceosome
GO_0000246|delta24(24-1) sterol reductase activity
GO_0016628|oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor
GO_0000247|C-8 sterol isomerase activity
GO_0016863|intramolecular oxidoreductase activity, transposing C=C bonds
GO_0000248|C-5 sterol desaturase activity
GO_0016717|oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water
GO_0070704|sterol desaturase activity
GO_0000249|C-22 sterol desaturase activity
GO_0000250|lanosterol synthase activity
GO_0031559|oxidosqualene cyclase activity
GO_0000251|
GO_0050613|delta14-sterol reductase activity
GO_0000252|C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity
GO_0000253|3-keto sterol reductase activity
GO_0000254|C-4 methylsterol oxidase activity
GO_0016716|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen
GO_0000255|allantoin metabolic process
GO_0043603|amide metabolic process
GO_0046483|heterocycle metabolic process
GO_1901360|organic cyclic compound metabolic process
GO_0000256|allantoin catabolic process
GO_0043605|amide catabolic process
GO_0046700|heterocycle catabolic process
GO_1901361|organic cyclic compound catabolic process
GO_0000257|nitrilase activity
GO_0016815|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in nitriles
GO_0000258|obsolete isoleucine/valine:sodium symporter activity
GO_0000259|obsolete intracellular nucleoside transmembrane transporter activity
GO_0000260|obsolete hydrogen-translocating V-type ATPase activity
GO_0000261|obsolete sodium-translocating V-type ATPase activity
GO_0000262|mitochondrial chromosome
GO_0005739|mitochondrion
GO_0042645|mitochondrial nucleoid
GO_0000263|obsolete heterotrimeric G-protein GTPase, alpha-subunit
GO_0000264|obsolete heterotrimeric G-protein GTPase, beta-subunit
GO_0000265|obsolete heterotrimeric G-protein GTPase, gamma-subunit
GO_0000266|mitochondrial fission
GO_0048285|organelle fission
GO_0000267|obsolete cell fraction
GO_0000268|peroxisome targeting sequence binding
GO_0005048|signal sequence binding
GO_0000269|toxin export channel activity
GO_0015288|porin activity
GO_0019534|toxin transmembrane transporter activity
GO_0000270|peptidoglycan metabolic process
GO_0030203|glycosaminoglycan metabolic process
GO_0000271|polysaccharide biosynthetic process
GO_0005976|polysaccharide metabolic process
GO_0009059|macromolecule biosynthetic process
GO_0016051|carbohydrate biosynthetic process
GO_0000272|polysaccharide catabolic process
GO_0009057|macromolecule catabolic process
GO_0016052|carbohydrate catabolic process
GO_0000273|
GO_0009106|lipoate metabolic process
GO_0000274|mitochondrial proton-transporting ATP synthase, stator stalk
GO_0045265|proton-transporting ATP synthase, stator stalk
GO_0098800|inner mitochondrial membrane protein complex
GO_0000276|mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)
GO_0000275|mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)
GO_0045261|proton-transporting ATP synthase complex, catalytic core F(1)
GO_0005753|mitochondrial proton-transporting ATP synthase complex
GO_0045263|proton-transporting ATP synthase complex, coupling factor F(o)
GO_0000277|[cytochrome c]-lysine N-methyltransferase activity
GO_0016279|protein-lysine N-methyltransferase activity
GO_0007049|cell cycle
GO_0022403|cell cycle phase
GO_0000280|nuclear division
GO_0000281|mitotic cytokinesis
GO_0061640|cytoskeleton-dependent cytokinesis
GO_0000282|cellular bud site selection
GO_0030010|establishment of cell polarity
GO_0000283|
GO_0000284|obsolete shmoo orientation
GO_0000285|1-phosphatidylinositol-3-phosphate 5-kinase activity
GO_0052742|phosphatidylinositol kinase activity
GO_0000286|alanine dehydrogenase activity
GO_0016638|oxidoreductase activity, acting on the CH-NH2 group of donors
GO_0000287|magnesium ion binding
GO_0046872|metal ion binding
GO_0000288|nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay
GO_0061157|mRNA destabilization
GO_0000289|nuclear-transcribed mRNA poly(A) tail shortening
GO_0000290|deadenylation-dependent decapping of nuclear-transcribed mRNA
GO_0110156|methylguanosine-cap decapping
GO_0000291|nuclear-transcribed mRNA catabolic process, exonucleolytic
GO_0000292|RNA fragment catabolic process
GO_0006401|RNA catabolic process
GO_0000293|ferric-chelate reductase activity
GO_0016722|oxidoreductase activity, acting on metal ions
GO_0000294|nuclear-transcribed mRNA catabolic process, RNase MRP-dependent
GO_0000295|adenine nucleotide transmembrane transporter activity
GO_0015216|purine nucleotide transmembrane transporter activity
GO_0051503|adenine nucleotide transport
GO_0000296|spermine transport
GO_0015846|polyamine transport
GO_0000297|spermine transmembrane transporter activity
GO_0015203|polyamine transmembrane transporter activity
GO_1903710|spermine transmembrane transport
GO_0000298|endopolyphosphatase activity
GO_0016462|pyrophosphatase activity
GO_0000299|obsolete integral to membrane of membrane fraction
GO_0000300|obsolete peripheral to membrane of membrane fraction
GO_0000301|retrograde transport, vesicle recycling within Golgi
GO_0006891|intra-Golgi vesicle-mediated transport
GO_0000302|response to reactive oxygen species
GO_0006979|response to oxidative stress
GO_1901700|response to oxygen-containing compound
GO_0000303|response to superoxide
GO_0000305|response to oxygen radical
GO_0000304|response to singlet oxygen
GO_0010035|response to inorganic substance
GO_0000306|obsolete extrinsic component of vacuolar membrane
GO_0000307|cyclin-dependent protein kinase holoenzyme complex
GO_1902554|serine/threonine protein kinase complex
GO_0000308|cytoplasmic cyclin-dependent protein kinase holoenzyme complex
GO_0000309|nicotinamide-nucleotide adenylyltransferase activity
GO_0070566|adenylyltransferase activity
GO_0000310|xanthine phosphoribosyltransferase activity
GO_0106130|purine phosphoribosyltransferase activity
GO_0000311|plastid large ribosomal subunit
GO_0009547|plastid ribosome
GO_0015934|large ribosomal subunit
GO_0000315|organellar large ribosomal subunit
GO_0000312|plastid small ribosomal subunit
GO_0015935|small ribosomal subunit
GO_0000314|organellar small ribosomal subunit
GO_0000313|organellar ribosome
GO_0043226|organelle
GO_0005840|ribosome
GO_0000316|sulfite transport
GO_0015698|inorganic anion transport
GO_0000317|
GO_0033744|L-methionine:thioredoxin-disulfide S-oxidoreductase activity
GO_0000318|
GO_0033743|peptide-methionine (R)-S-oxide reductase activity
GO_0000319|sulfite transmembrane transporter activity
GO_0015103|inorganic anion transmembrane transporter activity
GO_1901702|salt transmembrane transporter activity
GO_0000320|re-entry into mitotic cell cycle
GO_0022402|cell cycle process
GO_0000321|re-entry into mitotic cell cycle after pheromone arrest
GO_0000754|adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion
GO_0000322|storage vacuole
GO_0000323|lytic vacuole
GO_0000324|fungal-type vacuole
GO_0000325|plant-type vacuole
GO_0000326|protein storage vacuole
GO_0000327|lytic vacuole within protein storage vacuole
GO_0000328|fungal-type vacuole lumen
GO_0005775|vacuolar lumen
GO_0000329|fungal-type vacuole membrane
GO_0098852|lytic vacuole membrane
GO_0000330|plant-type vacuole lumen
GO_0000331|contractile vacuole
GO_0031410|cytoplasmic vesicle
GO_0062159|contractile vacuole complex
GO_0000332|template for synthesis of G-rich strand of telomere DNA activity
GO_0000497|DNA template activity
GO_0003720|telomerase activity
GO_0000333|telomerase catalytic core complex
GO_0005697|telomerase holoenzyme complex
GO_0061695|transferase complex, transferring phosphorus-containing groups
GO_0000334|3-hydroxyanthranilate 3,4-dioxygenase activity
GO_0016702|oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen
GO_0000335|obsolete negative regulation of transposition, DNA-mediated
GO_0000336|obsolete positive regulation of transposition, DNA-mediated
GO_0000337|obsolete regulation of transposition, DNA-mediated
GO_0000338|protein deneddylation
GO_0070646|protein modification by small protein removal
GO_0000339|RNA cap binding
GO_0000340|RNA 7-methylguanosine cap binding
GO_0000341|RNA trimethylguanosine cap binding
GO_0000342|RNA cap 4 binding
GO_0000343|plastid-encoded plastid RNA polymerase complex A
GO_0000427|plastid-encoded plastid RNA polymerase complex
GO_0000344|plastid-encoded plastid RNA polymerase complex B
GO_0000345|cytosolic DNA-directed RNA polymerase complex
GO_0000428|DNA-directed RNA polymerase complex
GO_0000346|transcription export complex
GO_0000347|THO complex
GO_0000348|mRNA branch site recognition
GO_0000349|generation of catalytic spliceosome for first transesterification step
GO_0000393|spliceosomal conformational changes to generate catalytic conformation
GO_0000350|generation of catalytic spliceosome for second transesterification step
